path,shape_z_y_x,spacing_x_y_z,size_x,size_y,size_z
synthRAD2025_Train_2.5D/Task2/AB/2ABA002/ct.mha,"(5, 309, 310)","(1.0, 1.0, 1.0)",310,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA005/ct.mha,"(5, 309, 289)","(1.0, 1.0, 1.0)",289,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA006/ct.mha,"(5, 310, 312)","(1.0, 1.0, 1.0)",312,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA008/ct.mha,"(5, 308, 315)","(1.0, 1.0, 1.0)",315,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA009/ct.mha,"(5, 313, 311)","(1.0, 1.0, 1.0)",311,313,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA024/ct.mha,"(5, 309, 308)","(1.0, 1.0, 1.0)",308,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA027/ct.mha,"(5, 310, 311)","(1.0, 1.0, 1.0)",311,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA030/ct.mha,"(5, 308, 309)","(1.0, 1.0, 1.0)",309,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA031/ct.mha,"(5, 310, 308)","(1.0, 1.0, 1.0)",308,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA032/ct.mha,"(5, 448, 449)","(1.0, 1.0, 1.0)",449,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA033/ct.mha,"(5, 317, 309)","(1.0, 1.0, 1.0)",309,317,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA036/ct.mha,"(5, 311, 314)","(1.0, 1.0, 1.0)",314,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA037/ct.mha,"(5, 459, 455)","(1.0, 1.0, 1.0)",455,459,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA038/ct.mha,"(5, 308, 310)","(1.0, 1.0, 1.0)",310,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA039/ct.mha,"(5, 510, 510)","(1.0, 1.0, 1.0)",510,510,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA040/ct.mha,"(5, 310, 311)","(1.0, 1.0, 1.0)",311,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA041/ct.mha,"(5, 311, 309)","(1.0, 1.0, 1.0)",309,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA043/ct.mha,"(5, 290, 291)","(1.0, 1.0, 1.0)",291,290,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA044/ct.mha,"(5, 309, 308)","(1.0, 1.0, 1.0)",308,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA046/ct.mha,"(5, 393, 393)","(1.0, 1.0, 1.0)",393,393,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA047/ct.mha,"(5, 311, 308)","(1.0, 1.0, 1.0)",308,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA048/ct.mha,"(5, 314, 309)","(1.0, 1.0, 1.0)",309,314,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA051/ct.mha,"(5, 309, 309)","(1.0, 1.0, 1.0)",309,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA056/ct.mha,"(5, 368, 370)","(1.0, 1.0, 1.0)",370,368,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA064/ct.mha,"(5, 308, 307)","(1.0, 1.0, 1.0)",307,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA065/ct.mha,"(5, 498, 499)","(1.0, 1.0, 1.0)",499,498,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA066/ct.mha,"(5, 308, 313)","(1.0, 1.0, 1.0)",313,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA067/ct.mha,"(5, 313, 310)","(1.0, 1.0, 1.0)",310,313,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA068/ct.mha,"(5, 314, 311)","(1.0, 1.0, 1.0)",311,314,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA071/ct.mha,"(5, 309, 309)","(1.0, 1.0, 1.0)",309,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA075/ct.mha,"(5, 312, 309)","(1.0, 1.0, 1.0)",309,312,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA077/ct.mha,"(5, 308, 313)","(1.0, 1.0, 1.0)",313,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA080/ct.mha,"(5, 309, 310)","(1.0, 1.0, 1.0)",310,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA082/ct.mha,"(5, 309, 308)","(1.0, 1.0, 1.0)",308,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA084/ct.mha,"(5, 308, 309)","(1.0, 1.0, 1.0)",309,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA086/ct.mha,"(5, 307, 308)","(1.0, 1.0, 1.0)",308,307,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA087/ct.mha,"(5, 311, 310)","(1.0, 1.0, 1.0)",310,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA091/ct.mha,"(5, 560, 560)","(1.0, 1.0, 1.0)",560,560,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA094/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA096/ct.mha,"(5, 308, 309)","(1.0, 1.0, 1.0)",309,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA098/ct.mha,"(5, 308, 307)","(1.0, 1.0, 1.0)",307,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA101/ct.mha,"(5, 310, 305)","(1.0, 1.0, 1.0)",305,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA102/ct.mha,"(5, 313, 311)","(1.0, 1.0, 1.0)",311,313,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA103/ct.mha,"(5, 310, 308)","(1.0, 1.0, 1.0)",308,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA104/ct.mha,"(5, 316, 308)","(1.0, 1.0, 1.0)",308,316,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA108/ct.mha,"(5, 314, 313)","(1.0, 1.0, 1.0)",313,314,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA109/ct.mha,"(5, 312, 311)","(1.0, 1.0, 1.0)",311,312,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA110/ct.mha,"(5, 309, 310)","(1.0, 1.0, 1.0)",310,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA112/ct.mha,"(5, 311, 308)","(1.0, 1.0, 1.0)",308,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA114/ct.mha,"(5, 306, 307)","(1.0, 1.0, 1.0)",307,306,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA115/ct.mha,"(5, 308, 307)","(1.0, 1.0, 1.0)",307,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA118/ct.mha,"(5, 310, 308)","(1.0, 1.0, 1.0)",308,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA122/ct.mha,"(5, 288, 303)","(1.0, 1.0, 1.0)",303,288,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA126/ct.mha,"(5, 450, 428)","(1.0, 1.0, 1.0)",428,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA128/ct.mha,"(5, 308, 311)","(1.0, 1.0, 1.0)",311,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA130/ct.mha,"(5, 311, 310)","(1.0, 1.0, 1.0)",310,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA132/ct.mha,"(5, 310, 317)","(1.0, 1.0, 1.0)",317,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA133/ct.mha,"(5, 311, 310)","(1.0, 1.0, 1.0)",310,311,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA134/ct.mha,"(5, 309, 307)","(1.0, 1.0, 1.0)",307,309,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA135/ct.mha,"(5, 453, 456)","(1.0, 1.0, 1.0)",456,453,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA136/ct.mha,"(5, 374, 405)","(1.0, 1.0, 1.0)",405,374,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA138/ct.mha,"(5, 310, 312)","(1.0, 1.0, 1.0)",312,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA139/ct.mha,"(5, 308, 308)","(1.0, 1.0, 1.0)",308,308,5
synthRAD2025_Train_2.5D/Task2/AB/2ABA143/ct.mha,"(5, 430, 449)","(1.0, 1.0, 1.0)",449,430,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB002/ct.mha,"(5, 452, 433)","(1.0, 1.0, 1.0)",433,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB004/ct.mha,"(5, 454, 450)","(1.0, 1.0, 1.0)",450,454,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB005/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB006/ct.mha,"(5, 432, 450)","(1.0, 1.0, 1.0)",450,432,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB009/ct.mha,"(5, 448, 452)","(1.0, 1.0, 1.0)",452,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB010/ct.mha,"(5, 451, 450)","(1.0, 1.0, 1.0)",450,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB011/ct.mha,"(5, 451, 449)","(1.0, 1.0, 1.0)",449,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB013/ct.mha,"(5, 449, 453)","(1.0, 1.0, 1.0)",453,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB014/ct.mha,"(5, 448, 412)","(1.0, 1.0, 1.0)",412,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB015/ct.mha,"(5, 449, 433)","(1.0, 1.0, 1.0)",433,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB018/ct.mha,"(5, 449, 449)","(1.0, 1.0, 1.0)",449,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB019/ct.mha,"(5, 452, 421)","(1.0, 1.0, 1.0)",421,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB021/ct.mha,"(5, 458, 450)","(1.0, 1.0, 1.0)",450,458,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB022/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB024/ct.mha,"(5, 453, 412)","(1.0, 1.0, 1.0)",412,453,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB025/ct.mha,"(5, 452, 417)","(1.0, 1.0, 1.0)",417,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB029/ct.mha,"(5, 449, 431)","(1.0, 1.0, 1.0)",431,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB030/ct.mha,"(5, 451, 442)","(1.0, 1.0, 1.0)",442,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB032/ct.mha,"(5, 450, 413)","(1.0, 1.0, 1.0)",413,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB033/ct.mha,"(5, 450, 450)","(1.0, 1.0, 1.0)",450,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB034/ct.mha,"(5, 451, 454)","(1.0, 1.0, 1.0)",454,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB036/ct.mha,"(5, 449, 453)","(1.0, 1.0, 1.0)",453,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB037/ct.mha,"(5, 452, 431)","(1.0, 1.0, 1.0)",431,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB039/ct.mha,"(5, 455, 451)","(1.0, 1.0, 1.0)",451,455,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB040/ct.mha,"(5, 451, 450)","(1.0, 1.0, 1.0)",450,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB042/ct.mha,"(5, 452, 448)","(1.0, 1.0, 1.0)",448,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB043/ct.mha,"(5, 452, 450)","(1.0, 1.0, 1.0)",450,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB044/ct.mha,"(5, 452, 418)","(1.0, 1.0, 1.0)",418,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB047/ct.mha,"(5, 454, 449)","(1.0, 1.0, 1.0)",449,454,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB051/ct.mha,"(5, 449, 427)","(1.0, 1.0, 1.0)",427,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB053/ct.mha,"(5, 456, 393)","(1.0, 1.0, 1.0)",393,456,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB054/ct.mha,"(5, 454, 450)","(1.0, 1.0, 1.0)",450,454,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB056/ct.mha,"(5, 439, 450)","(1.0, 1.0, 1.0)",450,439,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB059/ct.mha,"(5, 449, 431)","(1.0, 1.0, 1.0)",431,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB061/ct.mha,"(5, 451, 445)","(1.0, 1.0, 1.0)",445,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB065/ct.mha,"(5, 430, 455)","(1.0, 1.0, 1.0)",455,430,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB066/ct.mha,"(5, 449, 447)","(1.0, 1.0, 1.0)",447,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB067/ct.mha,"(5, 400, 449)","(1.0, 1.0, 1.0)",449,400,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB072/ct.mha,"(5, 402, 449)","(1.0, 1.0, 1.0)",449,402,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB077/ct.mha,"(5, 451, 449)","(1.0, 1.0, 1.0)",449,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB078/ct.mha,"(5, 452, 448)","(1.0, 1.0, 1.0)",448,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB085/ct.mha,"(5, 452, 452)","(1.0, 1.0, 1.0)",452,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB086/ct.mha,"(5, 451, 450)","(1.0, 1.0, 1.0)",450,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB087/ct.mha,"(5, 455, 393)","(1.0, 1.0, 1.0)",393,455,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB090/ct.mha,"(5, 451, 452)","(1.0, 1.0, 1.0)",452,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB091/ct.mha,"(5, 451, 449)","(1.0, 1.0, 1.0)",449,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB092/ct.mha,"(5, 421, 449)","(1.0, 1.0, 1.0)",449,421,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB093/ct.mha,"(5, 448, 434)","(1.0, 1.0, 1.0)",434,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB095/ct.mha,"(5, 454, 393)","(1.0, 1.0, 1.0)",393,454,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB096/ct.mha,"(5, 449, 452)","(1.0, 1.0, 1.0)",452,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB100/ct.mha,"(5, 452, 434)","(1.0, 1.0, 1.0)",434,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB101/ct.mha,"(5, 449, 449)","(1.0, 1.0, 1.0)",449,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB102/ct.mha,"(5, 427, 396)","(1.0, 1.0, 1.0)",396,427,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB105/ct.mha,"(5, 398, 398)","(1.0, 1.0, 1.0)",398,398,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB106/ct.mha,"(5, 454, 430)","(1.0, 1.0, 1.0)",430,454,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB108/ct.mha,"(5, 451, 456)","(1.0, 1.0, 1.0)",456,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB111/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB113/ct.mha,"(5, 449, 431)","(1.0, 1.0, 1.0)",431,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB114/ct.mha,"(5, 448, 454)","(1.0, 1.0, 1.0)",454,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB115/ct.mha,"(5, 451, 452)","(1.0, 1.0, 1.0)",452,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB117/ct.mha,"(5, 452, 454)","(1.0, 1.0, 1.0)",454,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB118/ct.mha,"(5, 450, 455)","(1.0, 1.0, 1.0)",455,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB119/ct.mha,"(5, 449, 447)","(1.0, 1.0, 1.0)",447,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB120/ct.mha,"(5, 450, 448)","(1.0, 1.0, 1.0)",448,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABB121/ct.mha,"(5, 451, 451)","(1.0, 1.0, 1.0)",451,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC004/ct.mha,"(5, 449, 449)","(1.0, 1.0, 1.0)",449,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC010/ct.mha,"(5, 408, 457)","(1.0, 1.0, 1.0)",457,408,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC011/ct.mha,"(5, 449, 452)","(1.0, 1.0, 1.0)",452,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC016/ct.mha,"(5, 451, 453)","(1.0, 1.0, 1.0)",453,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC017/ct.mha,"(5, 448, 450)","(1.0, 1.0, 1.0)",450,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC018/ct.mha,"(5, 449, 457)","(1.0, 1.0, 1.0)",457,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC019/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC035/ct.mha,"(5, 450, 450)","(1.0, 1.0, 1.0)",450,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC036/ct.mha,"(5, 310, 310)","(1.0, 1.0, 1.0)",310,310,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC038/ct.mha,"(5, 449, 451)","(1.0, 1.0, 1.0)",451,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC040/ct.mha,"(5, 453, 450)","(1.0, 1.0, 1.0)",450,453,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC043/ct.mha,"(5, 448, 452)","(1.0, 1.0, 1.0)",452,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC047/ct.mha,"(5, 451, 457)","(1.0, 1.0, 1.0)",457,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC049/ct.mha,"(5, 430, 391)","(1.0, 1.0, 1.0)",391,430,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC051/ct.mha,"(5, 449, 455)","(1.0, 1.0, 1.0)",455,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC052/ct.mha,"(5, 452, 412)","(1.0, 1.0, 1.0)",412,452,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC059/ct.mha,"(5, 449, 449)","(1.0, 1.0, 1.0)",449,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC063/ct.mha,"(5, 444, 432)","(1.0, 1.0, 1.0)",432,444,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC065/ct.mha,"(5, 449, 451)","(1.0, 1.0, 1.0)",451,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC066/ct.mha,"(5, 432, 450)","(1.0, 1.0, 1.0)",450,432,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC077/ct.mha,"(5, 448, 453)","(1.0, 1.0, 1.0)",453,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC079/ct.mha,"(5, 455, 449)","(1.0, 1.0, 1.0)",449,455,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC080/ct.mha,"(5, 449, 450)","(1.0, 1.0, 1.0)",450,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC085/ct.mha,"(5, 450, 385)","(1.0, 1.0, 1.0)",385,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC089/ct.mha,"(5, 434, 436)","(1.0, 1.0, 1.0)",436,434,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC093/ct.mha,"(5, 416, 449)","(1.0, 1.0, 1.0)",449,416,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC094/ct.mha,"(5, 442, 450)","(1.0, 1.0, 1.0)",450,442,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC096/ct.mha,"(5, 439, 451)","(1.0, 1.0, 1.0)",451,439,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC097/ct.mha,"(5, 447, 450)","(1.0, 1.0, 1.0)",450,447,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC102/ct.mha,"(5, 415, 450)","(1.0, 1.0, 1.0)",450,415,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC109/ct.mha,"(5, 450, 453)","(1.0, 1.0, 1.0)",453,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC113/ct.mha,"(5, 430, 450)","(1.0, 1.0, 1.0)",450,430,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC114/ct.mha,"(5, 450, 450)","(1.0, 1.0, 1.0)",450,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC116/ct.mha,"(5, 448, 450)","(1.0, 1.0, 1.0)",450,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC118/ct.mha,"(5, 448, 422)","(1.0, 1.0, 1.0)",422,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC122/ct.mha,"(5, 448, 448)","(1.0, 1.0, 1.0)",448,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC129/ct.mha,"(5, 454, 429)","(1.0, 1.0, 1.0)",429,454,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC130/ct.mha,"(5, 451, 420)","(1.0, 1.0, 1.0)",420,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC132/ct.mha,"(5, 449, 462)","(1.0, 1.0, 1.0)",462,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC135/ct.mha,"(5, 450, 450)","(1.0, 1.0, 1.0)",450,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC137/ct.mha,"(5, 450, 451)","(1.0, 1.0, 1.0)",451,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC142/ct.mha,"(5, 448, 451)","(1.0, 1.0, 1.0)",451,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC146/ct.mha,"(5, 448, 451)","(1.0, 1.0, 1.0)",451,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC147/ct.mha,"(5, 449, 448)","(1.0, 1.0, 1.0)",448,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC150/ct.mha,"(5, 451, 454)","(1.0, 1.0, 1.0)",454,451,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC151/ct.mha,"(5, 449, 453)","(1.0, 1.0, 1.0)",453,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC152/ct.mha,"(5, 449, 452)","(1.0, 1.0, 1.0)",452,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC156/ct.mha,"(5, 450, 450)","(1.0, 1.0, 1.0)",450,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC167/ct.mha,"(5, 450, 428)","(1.0, 1.0, 1.0)",428,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC168/ct.mha,"(5, 442, 453)","(1.0, 1.0, 1.0)",453,442,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC171/ct.mha,"(5, 440, 449)","(1.0, 1.0, 1.0)",449,440,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC176/ct.mha,"(5, 441, 449)","(1.0, 1.0, 1.0)",449,441,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC177/ct.mha,"(5, 450, 411)","(1.0, 1.0, 1.0)",411,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC178/ct.mha,"(5, 430, 449)","(1.0, 1.0, 1.0)",449,430,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC188/ct.mha,"(5, 413, 450)","(1.0, 1.0, 1.0)",450,413,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC199/ct.mha,"(5, 448, 404)","(1.0, 1.0, 1.0)",404,448,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC205/ct.mha,"(5, 450, 449)","(1.0, 1.0, 1.0)",449,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC212/ct.mha,"(5, 449, 451)","(1.0, 1.0, 1.0)",451,449,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC214/ct.mha,"(5, 450, 377)","(1.0, 1.0, 1.0)",377,450,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC222/ct.mha,"(5, 455, 453)","(1.0, 1.0, 1.0)",453,455,5
synthRAD2025_Train_2.5D/Task2/AB/2ABC229/ct.mha,"(5, 454, 448)","(1.0, 1.0, 1.0)",448,454,5
